"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"643","Glad to hear the new @Delta @AmericanExpress waiver limit is higher...I never liked the entitlement via money attitude #earnit #deltaamex",FALSE,0,NA,2017-09-26 16:35:55,FALSE,NA,"912717379439874048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Daniel_Sapp",0,FALSE,FALSE,NA,NA
"644","So @Delta when you gonna start replacement of these 763's?  Light comes thru the hull<ed><U+00A0><U+00BE><ed><U+00B4><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #delta #767 #dl23 https://t.co/qWp0ubAVoU",FALSE,0,NA,2017-09-26 16:35:49,FALSE,NA,"912717352801853440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danisnotaninja",0,FALSE,FALSE,NA,NA
"645","How about a giant FU to long time loyal customers? Those with the reserve card prior to 2016 should get grandfather… https://t.co/5b4ahiZsg5",FALSE,0,NA,2017-09-26 16:35:41,TRUE,NA,"912717320258121728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lukemill",0,FALSE,FALSE,NA,NA
"646","Hey @delta diamond members, if you're willing to pay $250k on a credit card, wanna go splits and buy a jet we can s… https://t.co/db3N7cfZ1U",FALSE,9,NA,2017-09-26 16:35:35,TRUE,NA,"912717297776697344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rickilee",3,FALSE,FALSE,NA,NA
"647","@Delta @JetBlue ‘s SanJuan change waiver is until Nov.15!!! Please extend yours!!!",FALSE,0,"Delta",2017-09-26 16:35:30,FALSE,NA,"912717273974165505","5920532","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PeaceLove1027",0,FALSE,FALSE,NA,NA
"648","@tenderlove @Delta Was a direct email",FALSE,0,"tenderlove",2017-09-26 16:35:22,FALSE,"912711944297005056","912717243255021569","14761655","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","erniemiller",0,FALSE,FALSE,NA,NA
"649",".@Delta: Were slightly increasing #Delta Amex spend for Diamond Medallions. Small adjustment from $25k to TWO HUNDRED FIFTY THOUSAND DOLLARS",FALSE,5,NA,2017-09-26 16:35:09,FALSE,NA,"912717184975085568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","njsamps",1,FALSE,FALSE,NA,NA
"650","RT @Reid_Spencer: .@Delta raising Amex Diamond waiver from $25K to $250K next year. You read that right. Total betrayal of loyal customers.",FALSE,0,NA,2017-09-26 16:34:58,FALSE,NA,"912717138951065600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CandiceSpencer",4,TRUE,FALSE,NA,NA
"651","@Delta As a Delta Amex cardholder, I'm very disappointed with your latest changes to the Diamond Medallion requirements.",FALSE,1,"Delta",2017-09-26 16:34:47,FALSE,NA,"912717095930130432","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PEAJAEwascher",0,FALSE,FALSE,NA,NA
"652","@JetBlue @AmericanAir @SpiritAirlines @SouthwestAir @Delta @united please remember, THE HOLE WORLD IS WATCHING YOUR MOVES ON #PuertoRico",FALSE,0,"JetBlue",2017-09-26 16:34:37,FALSE,NA,"912717051789238272","6449282","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eborrali",0,FALSE,FALSE,NA,NA
"653","@Delta you could have at least made the rule change apply for 2020 and given people more notice... $250k!? Seriously? #unhappydiamondmember",FALSE,0,"Delta",2017-09-26 16:34:35,FALSE,NA,"912717045879508992","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vmd923",0,FALSE,FALSE,NA,NA
"654","@SternerJeanette @Delta @RenesPoints It's a slap in the face and a sign they didn't consider their most loyal customers.",FALSE,0,"SternerJeanette",2017-09-26 16:34:27,FALSE,"912713229851332608","912717008973844480","2269464097","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michellenewcome",0,FALSE,FALSE,NA,NA
"655","@cghaoui @Delta It's not called skypesos for nothing",FALSE,0,"cghaoui",2017-09-26 16:34:19,FALSE,"912715264214609921","912716977206161410","40117858","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2</a>","zmiko",0,FALSE,FALSE,NA,NA
"656","@Delta I believe I'm missing one of my trips and miles. Can you please assist?",FALSE,0,"Delta",2017-09-26 16:34:10,FALSE,NA,"912716940111601664","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kingspham",0,FALSE,FALSE,NA,NA
